0	60	0
0	60	30
0	60	60
0	90	0
0	90	30
0	90	60
0	90	90
0	90	120
0	90	150
0	120	0
0	120	30
0	120	60
0	120	90
0	120	120
0	120	150
0	150	0
0	150	30
0	150	60
0	150	90
0	150	120
0	150	150
0	180	0
0	180	30
0	180	60
0	180	90
0	180	120
0	180	150
0	210	0
0	210	30
0	210	60
0	210	90
0	210	120
0	210	150
0	240	0
0	240	30
0	240	60
0	240	90
0	240	120
0	240	150
0	270	0
0	270	30
0	270	60
0	270	90
0	270	120
0	270	150
0	300	0
0	300	120
0	300	150
30	30	60
30	60	30
30	60	60
30	60	90
30	60	120
30	90	0
30	90	30
30	90	60
30	90	90
30	90	120
30	90	150
30	120	0
30	120	30
30	120	60
30	120	90
30	120	120
30	120	150
30	150	0
30	150	30
30	150	60
30	150	90
30	150	120
30	150	150
30	180	0
30	180	30
30	180	60
30	180	90
30	180	120
30	180	150
30	210	0
30	210	30
30	210	60
30	210	90
30	210	120
30	210	150
30	240	0
30	240	30
30	240	60
30	240	90
30	240	120
30	240	150
30	270	0
30	270	30
30	270	60
30	270	90
30	270	120
30	270	150
30	300	120
30	300	150
60	0	90
60	60	60
60	60	90
60	90	0
60	90	30
60	90	60
60	90	90
60	90	120
60	90	150
60	120	0
60	120	30
60	120	60
60	120	90
60	120	120
60	120	150
60	150	0
60	150	30
60	150	60
60	150	90
60	150	120
60	150	150
60	180	0
60	180	30
60	180	60
60	180	90
60	180	120
60	180	150
60	210	0
60	210	30
60	210	60
60	210	90
60	210	120
60	210	150
60	240	0
60	240	30
60	240	60
60	240	90
60	240	120
60	240	150
60	270	0
60	270	30
60	270	60
60	270	90
60	270	120
60	270	150
60	300	90
60	300	120
60	300	150
60	330	90
90	90	0
90	90	30
90	90	60
90	90	90
90	90	120
90	90	150
90	120	0
90	120	30
90	120	60
90	120	90
90	120	120
90	120	150
90	150	0
90	150	30
90	150	60
90	150	90
90	150	120
90	150	150
90	180	0
90	180	30
90	180	60
90	180	90
90	180	120
90	180	150
90	210	0
90	210	30
90	210	60
90	210	90
90	210	120
90	210	150
90	240	0
90	240	30
90	240	60
90	240	90
90	240	120
90	240	150
90	270	0
90	270	30
90	270	60
90	270	90
90	270	120
90	270	150
90	300	0
90	300	60
90	300	90
90	300	120
90	300	150
120	60	0
120	60	30
120	60	60
120	90	0
120	90	30
120	90	60
120	90	90
120	90	120
120	90	150
120	120	0
120	120	30
120	120	60
120	120	90
120	120	120
120	120	150
120	150	0
120	150	30
120	150	60
120	150	90
120	150	120
120	150	150
120	180	0
120	180	30
120	180	60
120	180	90
120	180	120
120	180	150
120	210	0
120	210	30
120	210	60
120	210	90
120	210	120
120	210	150
120	240	0
120	240	30
120	240	60
